PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,din care: Exploatatii agricole individuale,Galati,1991,Kilograme,3051.0
Grau - total,Sector privat,Gorj,1991,Kilograme,1375.0
Grau - total,Sector privat,Calarasi,1991,Kilograme,2705.0
Grau - total,Sector privat,Vaslui,1991,Kilograme,1736.0
Grau - total,din care: Exploatatii agricole individuale,Vaslui,1991,Kilograme,1738.0
Grau - total,Sector privat,Harghita,1991,Kilograme,1932.0
Grau - total,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1991,Kilograme,2069.0
Grau - total,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1991,Kilograme,1778.0
Grau - total,din care: Exploatatii agricole individuale,Harghita,1991,Kilograme,1849.0
Grau - total,Sector privat,Bistrita-Nasaud,1991,Kilograme,1778.0
Grau - total,din care: Exploatatii agricole individuale,Mehedinti,1991,Kilograme,1865.0
Grau - total,din care: Exploatatii agricole individuale,Ialomita,1991,Kilograme,2760.0
Grau - total,Sector privat,Mehedinti,1991,Kilograme,1865.0
Grau - total,Sector privat,Dambovita,1991,Kilograme,1502.0
Grau - total,din care: Exploatatii agricole individuale,Olt,1991,Kilograme,3041.0
Grau - total,din care: Exploatatii agricole individuale,Arges,1991,Kilograme,2249.0
Grau - total,din care: Exploatatii agricole individuale,Mures,1991,Kilograme,2606.0
Grau - total,din care: Exploatatii agricole individuale,Cluj,1991,Kilograme,1793.0
Grau - total,Sector privat,Braila,1991,Kilograme,2967.0
Grau - total,Sector privat,Hunedoara,1991,Kilograme,1829.0
Grau - total,Sector privat,Mures,1991,Kilograme,2517.0
Grau - total,Sector privat,Cluj,1991,Kilograme,1803.0
Grau - total,Sector privat,Giurgiu,1991,Kilograme,1616.0
Grau - total,din care: Exploatatii agricole individuale,Valcea,1991,Kilograme,2676.0
Grau - total,Sector privat,Buzau,1991,Kilograme,2707.0
Grau - total,din care: Exploatatii agricole individuale,Sibiu,1991,Kilograme,1460.0
Grau - total,Sector privat,Sibiu,1991,Kilograme,1460.0
Grau - total,din care: Exploatatii agricole individuale,Maramures,1991,Kilograme,1757.0
