PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Orz si orzoaica,din care: Exploatatii agricole individuale,Vrancea,1990,Kilograme,2576.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1990,Kilograme,1649.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1990,Kilograme,3875.0
Orz si orzoaica,Sector privat,Arges,1990,Kilograme,4291.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1990,Kilograme,3882.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1990,Kilograme,2455.0
Orz si orzoaica,Sector privat,Suceava,1990,Kilograme,1649.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1990,Kilograme,1992.0
Orz si orzoaica,Sector privat,Gorj,1990,Kilograme,2873.0
Orz si orzoaica,Sector privat,Arges,1991,Kilograme,1971.0
Orz si orzoaica,Sector privat,Teleorman,1991,Kilograme,3491.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1991,Kilograme,1459.0
Orz si orzoaica,Sector privat,Suceava,1991,Kilograme,1459.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1991,Kilograme,1565.0
Orz si orzoaica,Sector privat,Olt,1991,Kilograme,3509.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1991,Kilograme,2342.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Timis,1991,Kilograme,1775.0
Orz si orzoaica,Sector privat,Bihor,1991,Kilograme,2620.0
Orz si orzoaica,Sector privat,Calarasi,1991,Kilograme,3400.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vaslui,1991,Kilograme,1632.0
Orz si orzoaica,Sector privat,Vaslui,1991,Kilograme,1628.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1991,Kilograme,2444.0
Orz si orzoaica,Sector privat,Harghita,1991,Kilograme,1519.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Harghita,1991,Kilograme,1443.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arges,1991,Kilograme,2482.0
Orz si orzoaica,Sector privat,Bistrita-Nasaud,1991,Kilograme,1755.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1991,Kilograme,1755.0
Orz si orzoaica,Sector privat,Mehedinti,1991,Kilograme,2235.0
Orz si orzoaica,Sector privat,Dambovita,1991,Kilograme,1825.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1991,Kilograme,3200.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Olt,1991,Kilograme,3502.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1991,Kilograme,2324.0
Orz si orzoaica,Sector privat,Mures,1991,Kilograme,2319.0
Orz si orzoaica,Sector privat,Cluj,1991,Kilograme,1560.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Cluj,1991,Kilograme,1544.0
Orz si orzoaica,Sector privat,Gorj,1991,Kilograme,1917.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dolj,1991,Kilograme,3307.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mehedinti,1991,Kilograme,2235.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Valcea,1991,Kilograme,3094.0
Orz si orzoaica,Sector privat,Giurgiu,1991,Kilograme,1888.0
Orz si orzoaica,Sector privat,Buzau,1991,Kilograme,2895.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Sibiu,1991,Kilograme,1120.0
Orz si orzoaica,Sector privat,Sibiu,1991,Kilograme,1120.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Maramures,1991,Kilograme,1583.0
Orz si orzoaica,Sector privat,Maramures,1991,Kilograme,1583.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Tulcea,1991,Kilograme,2385.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arad,1991,Kilograme,1853.0
Orz si orzoaica,Sector privat,Valcea,1991,Kilograme,3094.0
Orz si orzoaica,Sector privat,Ialomita,1991,Kilograme,3244.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Buzau,1991,Kilograme,2347.0
Orz si orzoaica,Sector privat,Constanta,1991,Kilograme,2825.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bacau,1991,Kilograme,1988.0
Orz si orzoaica,Sector privat,Bacau,1991,Kilograme,1994.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Satu Mare,1991,Kilograme,2790.0
Orz si orzoaica,Sector privat,Satu Mare,1991,Kilograme,2750.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Teleorman,1991,Kilograme,3424.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dambovita,1991,Kilograme,1929.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Caras-Severin,1991,Kilograme,1738.0
Orz si orzoaica,Sector privat,Arad,1991,Kilograme,2408.0
Orz si orzoaica,Sector privat,Prahova,1991,Kilograme,2998.0
Orz si orzoaica,Sector privat,Galati,1991,Kilograme,2284.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Botosani,1991,Kilograme,2761.0
Orz si orzoaica,Sector privat,Botosani,1991,Kilograme,2283.0
Orz si orzoaica,Sector privat,Salaj,1991,Kilograme,1605.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Gorj,1991,Kilograme,1921.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Salaj,1991,Kilograme,1604.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Hunedoara,1991,Kilograme,1667.0
Orz si orzoaica,Sector privat,Caras-Severin,1991,Kilograme,1741.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Iasi,1991,Kilograme,2426.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Ialomita,1991,Kilograme,2919.0
Orz si orzoaica,Sector privat,Tulcea,1991,Kilograme,2762.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Alba,1991,Kilograme,1810.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Prahova,1991,Kilograme,3078.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Giurgiu,1991,Kilograme,1732.0
Orz si orzoaica,Sector privat,Hunedoara,1991,Kilograme,1695.0
Orz si orzoaica,Sector privat,Covasna,1991,Kilograme,1540.0
Orz si orzoaica,Sector privat,Iasi,1991,Kilograme,2698.0
Orz si orzoaica,Sector privat,Alba,1991,Kilograme,1812.0
Orz si orzoaica,Sector privat,Mun. Bucuresti -incl. SAI,1991,Kilograme,2002.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Neamt,1991,Kilograme,1884.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Brasov,1991,Kilograme,1616.0
Orz si orzoaica,Sector privat,Timis,1991,Kilograme,2550.0
Orz si orzoaica,Sector privat,Vrancea,1991,Kilograme,2350.0
Orz si orzoaica,Sector privat,Dolj,1991,Kilograme,3315.0
Orz si orzoaica,Sector privat,Neamt,1991,Kilograme,2295.0
Orz si orzoaica,Sector privat,Brasov,1991,Kilograme,1666.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vrancea,1991,Kilograme,2372.0
Orz si orzoaica,Sector privat,Braila,1991,Kilograme,3123.0
Orz si orzoaica,Sector privat,Dolj,1992,Kilograme,2807.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Calarasi,1992,Kilograme,3066.0
Orz si orzoaica,Sector privat,Brasov,1992,Kilograme,2430.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vrancea,1992,Kilograme,1470.0
Orz si orzoaica,Sector privat,Arges,1992,Kilograme,2220.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dambovita,1992,Kilograme,2590.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1992,Kilograme,1612.0
Orz si orzoaica,Sector privat,Suceava,1992,Kilograme,1643.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dolj,1992,Kilograme,2682.0
Orz si orzoaica,Sector privat,Covasna,1992,Kilograme,1701.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Alba,1992,Kilograme,1894.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Ialomita,1992,Kilograme,2551.0
Orz si orzoaica,Sector privat,Gorj,1992,Kilograme,1811.0
Orz si orzoaica,Sector privat,Bihor,1992,Kilograme,1829.0
Orz si orzoaica,Sector privat,Calarasi,1992,Kilograme,3103.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1992,Kilograme,2608.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vaslui,1992,Kilograme,1371.0
Orz si orzoaica,Sector privat,Vaslui,1992,Kilograme,1297.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Harghita,1992,Kilograme,1344.0
Orz si orzoaica,Sector privat,Harghita,1992,Kilograme,1456.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Galati,1992,Kilograme,1505.0
Orz si orzoaica,Sector privat,Neamt,1992,Kilograme,2280.0
Orz si orzoaica,Sector privat,Mehedinti,1992,Kilograme,1385.0
Orz si orzoaica,Sector privat,Bistrita-Nasaud,1992,Kilograme,1860.0
Orz si orzoaica,Sector privat,Dambovita,1992,Kilograme,2548.0
Orz si orzoaica,Sector privat,Braila,1992,Kilograme,2370.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Olt,1992,Kilograme,3341.0
Orz si orzoaica,Sector privat,Mures,1992,Kilograme,2471.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1992,Kilograme,2177.0
Orz si orzoaica,Sector privat,Cluj,1992,Kilograme,2088.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1992,Kilograme,1599.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Cluj,1992,Kilograme,2017.0
Orz si orzoaica,Sector privat,Olt,1992,Kilograme,3270.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arges,1992,Kilograme,1932.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mehedinti,1992,Kilograme,1505.0
Orz si orzoaica,Sector privat,Giurgiu,1992,Kilograme,2222.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Valcea,1992,Kilograme,3427.0
Orz si orzoaica,Sector privat,Buzau,1992,Kilograme,2392.0
Orz si orzoaica,Sector privat,Sibiu,1992,Kilograme,1803.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Sibiu,1992,Kilograme,1698.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Tulcea,1992,Kilograme,1369.0
Orz si orzoaica,Sector privat,Maramures,1992,Kilograme,1684.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Maramures,1992,Kilograme,1684.0
Orz si orzoaica,Sector privat,Valcea,1992,Kilograme,3424.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arad,1992,Kilograme,1145.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Buzau,1992,Kilograme,2286.0
Orz si orzoaica,Sector privat,Ialomita,1992,Kilograme,2804.0
Orz si orzoaica,Sector privat,Constanta,1992,Kilograme,2126.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bacau,1992,Kilograme,2051.0
Orz si orzoaica,Sector privat,Bacau,1992,Kilograme,2075.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Satu Mare,1992,Kilograme,2345.0
Orz si orzoaica,Sector privat,Satu Mare,1992,Kilograme,2623.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Braila,1992,Kilograme,2364.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Teleorman,1992,Kilograme,2313.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Caras-Severin,1992,Kilograme,1151.0
Orz si orzoaica,Sector privat,Arad,1992,Kilograme,1415.0
Orz si orzoaica,Sector privat,Prahova,1992,Kilograme,2965.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1992,Kilograme,2003.0
Orz si orzoaica,Sector privat,Galati,1992,Kilograme,1404.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Botosani,1992,Kilograme,1893.0
Orz si orzoaica,Sector privat,Botosani,1992,Kilograme,1956.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Gorj,1992,Kilograme,1639.0
Orz si orzoaica,Sector privat,Vrancea,1992,Kilograme,1640.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Salaj,1992,Kilograme,1621.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Hunedoara,1992,Kilograme,1811.0
Orz si orzoaica,Sector privat,Salaj,1992,Kilograme,1777.0
Orz si orzoaica,Sector privat,Caras-Severin,1992,Kilograme,1131.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Iasi,1992,Kilograme,1768.0
Orz si orzoaica,Sector privat,Teleorman,1992,Kilograme,2567.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Prahova,1992,Kilograme,2022.0
Orz si orzoaica,Sector privat,Tulcea,1992,Kilograme,1498.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1992,Kilograme,1687.0
Orz si orzoaica,Sector privat,Hunedoara,1992,Kilograme,1939.0
