NUTS_ID,county_name,maize_yield_2021_kg_ha
RO111,Bihor,6300.0
RO112,Bistrita-Nasaud,5265.0
RO113,Cluj,5804.0
RO114,Maramures,4732.0
RO115,Satu Mare,6623.0
RO116,Salaj,5344.0
RO121,Alba,6262.0
RO122,Brasov,5926.0
RO123,Covasna,4458.0
RO124,Harghita,4907.0
RO125,Mures,6703.0
RO126,Sibiu,5560.0
RO211,Bacau,5261.0
RO212,Botosani,6360.0
RO213,Iasi,5930.0
RO214,Neamt,6244.0
RO215,Suceava,5086.0
RO216,Vaslui,5107.0
RO221,Braila,7533.0
RO222,Buzau,6011.0
RO223,Constanta,5236.0
RO224,Galati,7160.0
RO225,Tulcea,4119.0
RO226,Vrancea,5030.0
RO311,Arges,3933.0
RO312,Calarasi,7568.0
RO313,Dambovita,3680.0
RO314,Giurgiu,4976.0
RO315,Ialomita,8394.0
RO316,Prahova,4893.0
RO317,Teleorman,4230.0
RO322,Ilfov,5678.0
RO411,Dolj,4485.0
RO412,Gorj,3593.0
RO413,Mehedinti,3399.0
RO414,Olt,3967.0
RO415,Valcea,4129.0
RO421,Arad,5211.0
RO422,Caras-Severin,4374.0
RO423,Hunedoara,4472.0
RO424,Timis,5930.0
