NUTS_ID,county_name,sunflower_yield_2024_kg_ha
RO111,Bihor,1907.0
RO112,Bistrita-Nasaud,2008.0
RO113,Cluj,2013.0
RO114,Maramures,1875.0
RO115,Satu Mare,1741.0
RO116,Salaj,1563.0
RO121,Alba,2595.0
RO122,Brasov,2629.0
RO123,Covasna,1854.0
RO124,Harghita,0.0
RO125,Mures,2425.0
RO126,Sibiu,2430.0
RO211,Bacau,1340.0
RO212,Botosani,1323.0
RO213,Iasi,1337.0
RO214,Neamt,1967.0
RO215,Suceava,1889.0
RO216,Vaslui,752.0
RO221,Braila,1898.0
RO222,Buzau,601.0
RO223,Constanta,1258.0
RO224,Galati,604.0
RO225,Tulcea,1523.0
RO226,Vrancea,601.0
RO311,Arges,1365.0
RO312,Calarasi,1682.0
RO313,Dambovita,952.0
RO314,Giurgiu,1257.0
RO315,Ialomita,1507.0
RO316,Prahova,842.0
RO317,Teleorman,651.0
RO322,Ilfov,1049.0
RO411,Dolj,1296.0
RO412,Gorj,1094.0
RO413,Mehedinti,933.0
RO414,Olt,396.0
RO415,Valcea,1507.0
RO421,Arad,2015.0
RO422,Caras-Severin,1725.0
RO423,Hunedoara,1692.0
RO424,Timis,2071.0
,Municipiul Bucuresti,0.0
