NUTS_ID,county_name,wheat_yield_2024_kg_ha
RO111,Bihor,4463.0
RO112,Bistrita-Nasaud,3469.0
RO113,Cluj,4116.0
RO114,Maramures,3565.0
RO115,Satu Mare,4280.0
RO116,Salaj,3502.0
RO121,Alba,4750.0
RO122,Brasov,4811.0
RO123,Covasna,4240.0
RO124,Harghita,3638.0
RO125,Mures,5248.0
RO126,Sibiu,3479.0
RO211,Bacau,3362.0
RO212,Botosani,2765.0
RO213,Iasi,3443.0
RO214,Neamt,4285.0
RO215,Suceava,4020.0
RO216,Vaslui,3099.0
RO221,Braila,4420.0
RO222,Buzau,1244.0
RO223,Constanta,5021.0
RO224,Galati,1498.0
RO225,Tulcea,3691.0
RO226,Vrancea,1402.0
RO311,Arges,3627.0
RO312,Calarasi,5166.0
RO313,Dambovita,3698.0
RO314,Giurgiu,5145.0
RO315,Ialomita,3853.0
RO316,Prahova,3082.0
RO317,Teleorman,4310.0
RO322,Ilfov,4104.0
RO411,Dolj,4022.0
RO412,Gorj,3343.0
RO413,Mehedinti,3189.0
RO414,Olt,4142.0
RO415,Valcea,3386.0
RO421,Arad,5079.0
RO422,Caras-Severin,4120.0
RO423,Hunedoara,3580.0
RO424,Timis,5738.0
,Municipiul Bucuresti,0.0
