PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Porumb boabe,din care: Exploatatii agricole individuale,Timis,1990,Kilograme,2912.0
Porumb boabe,Sector privat,Brasov,1990,Kilograme,2605.0
Porumb boabe,din care: Exploatatii agricole individuale,Neamt,1990,Kilograme,3403.0
Porumb boabe,din care: Exploatatii agricole individuale,Brasov,1990,Kilograme,2605.0
Porumb boabe,Sector privat,Timis,1990,Kilograme,2912.0
Porumb boabe,Sector privat,Dolj,1990,Kilograme,4317.0
Porumb boabe,din care: Exploatatii agricole individuale,Gorj,1990,Kilograme,1899.0
Porumb boabe,Sector privat,Arges,1990,Kilograme,3052.0
Porumb boabe,Sector privat,Suceava,1990,Kilograme,2705.0
Porumb boabe,Sector privat,Covasna,1990,Kilograme,2361.0
Porumb boabe,din care: Exploatatii agricole individuale,Suceava,1990,Kilograme,2705.0
Porumb boabe,din care: Exploatatii agricole individuale,Bihor,1990,Kilograme,2654.0
Porumb boabe,Sector privat,Bihor,1991,Kilograme,3760.0
Porumb boabe,din care: Exploatatii agricole individuale,Covasna,1991,Kilograme,2385.0
Porumb boabe,Sector privat,Gorj,1991,Kilograme,3264.0
Porumb boabe,din care: Exploatatii agricole individuale,Ialomita,1991,Kilograme,6498.0
Porumb boabe,Sector privat,Calarasi,1991,Kilograme,5868.0
Porumb boabe,din care: Exploatatii agricole individuale,Constanta,1991,Kilograme,4513.0
Porumb boabe,Sector privat,Vaslui,1991,Kilograme,2960.0
Porumb boabe,din care: Exploatatii agricole individuale,Vaslui,1991,Kilograme,2961.0
Porumb boabe,Sector privat,Harghita,1991,Kilograme,2214.0
Porumb boabe,Sector privat,Bistrita-Nasaud,1991,Kilograme,2429.0
Porumb boabe,din care: Exploatatii agricole individuale,Harghita,1991,Kilograme,2051.0
Porumb boabe,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1991,Kilograme,2429.0
Porumb boabe,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1991,Kilograme,6103.0
Porumb boabe,din care: Exploatatii agricole individuale,Arges,1991,Kilograme,3531.0
Porumb boabe,Sector privat,Mehedinti,1991,Kilograme,4124.0
Porumb boabe,din care: Exploatatii agricole individuale,Galati,1991,Kilograme,5226.0
Porumb boabe,Sector privat,Dambovita,1991,Kilograme,3687.0
Porumb boabe,Sector privat,Braila,1991,Kilograme,6282.0
Porumb boabe,din care: Exploatatii agricole individuale,Braila,1991,Kilograme,4997.0
Porumb boabe,Sector privat,Mures,1991,Kilograme,3232.0
Porumb boabe,din care: Exploatatii agricole individuale,Olt,1991,Kilograme,5833.0
Porumb boabe,Sector privat,Alba,1991,Kilograme,3081.0
Porumb boabe,din care: Exploatatii agricole individuale,Mures,1991,Kilograme,3296.0
Porumb boabe,din care: Exploatatii agricole individuale,Cluj,1991,Kilograme,2931.0
Porumb boabe,Sector privat,Olt,1991,Kilograme,5803.0
Porumb boabe,Sector privat,Giurgiu,1991,Kilograme,4245.0
Porumb boabe,din care: Exploatatii agricole individuale,Mehedinti,1991,Kilograme,4124.0
Porumb boabe,Sector privat,Buzau,1991,Kilograme,4427.0
Porumb boabe,Sector privat,Sibiu,1991,Kilograme,2516.0
Porumb boabe,Sector privat,Maramures,1991,Kilograme,2444.0
Porumb boabe,din care: Exploatatii agricole individuale,Valcea,1991,Kilograme,3980.0
Porumb boabe,din care: Exploatatii agricole individuale,Dolj,1991,Kilograme,5097.0
Porumb boabe,din care: Exploatatii agricole individuale,Sibiu,1991,Kilograme,2516.0
Porumb boabe,din care: Exploatatii agricole individuale,Maramures,1991,Kilograme,2444.0
Porumb boabe,Sector privat,Valcea,1991,Kilograme,3980.0
Porumb boabe,Sector privat,Ialomita,1991,Kilograme,6930.0
Porumb boabe,Sector privat,Constanta,1991,Kilograme,4428.0
Porumb boabe,Sector privat,Bacau,1991,Kilograme,3570.0
Porumb boabe,din care: Exploatatii agricole individuale,Teleorman,1991,Kilograme,4817.0
Porumb boabe,Sector privat,Satu Mare,1991,Kilograme,2813.0
Porumb boabe,din care: Exploatatii agricole individuale,Arad,1991,Kilograme,4358.0
