PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Floarea soarelui,din care: Exploatatii agricole individuale,Mures,1991,Kilograme,570.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vrancea,1991,Kilograme,1123.0
Floarea soarelui,din care: Exploatatii agricole individuale,Tulcea,1991,Kilograme,888.0
Floarea soarelui,Sector privat,Braila,1991,Kilograme,1132.0
Floarea soarelui,din care: Exploatatii agricole individuale,Galati,1991,Kilograme,1200.0
Floarea soarelui,Sector privat,Alba,1991,Kilograme,915.0
Floarea soarelui,din care: Exploatatii agricole individuale,Olt,1991,Kilograme,1662.0
Floarea soarelui,Sector privat,Dambovita,1991,Kilograme,727.0
Floarea soarelui,din care: Exploatatii agricole individuale,Prahova,1991,Kilograme,436.0
Floarea soarelui,Sector privat,Bihor,1991,Kilograme,829.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bihor,1991,Kilograme,879.0
Floarea soarelui,Sector privat,Mures,1991,Kilograme,754.0
Floarea soarelui,Sector privat,Buzau,1991,Kilograme,1457.0
Floarea soarelui,Sector privat,Bistrita-Nasaud,1991,Kilograme,1154.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dambovita,1991,Kilograme,771.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bacau,1991,Kilograme,1207.0
Floarea soarelui,din care: Exploatatii agricole individuale,Cluj,1991,Kilograme,1075.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arges,1991,Kilograme,806.0
Floarea soarelui,Sector privat,Giurgiu,1991,Kilograme,873.0
Floarea soarelui,Sector privat,Olt,1991,Kilograme,1672.0
Floarea soarelui,din care: Exploatatii agricole individuale,Giurgiu,1991,Kilograme,849.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arad,1991,Kilograme,1009.0
Floarea soarelui,din care: Exploatatii agricole individuale,Botosani,1991,Kilograme,1199.0
Floarea soarelui,din care: Exploatatii agricole individuale,Maramures,1991,Kilograme,950.0
Floarea soarelui,Sector privat,Bacau,1991,Kilograme,1208.0
Floarea soarelui,Sector privat,Constanta,1991,Kilograme,1095.0
Floarea soarelui,Sector privat,Cluj,1991,Kilograme,1053.0
Floarea soarelui,Sector privat,Mehedinti,1991,Kilograme,1388.0
Floarea soarelui,din care: Exploatatii agricole individuale,Caras-Severin,1991,Kilograme,841.0
Floarea soarelui,din care: Exploatatii agricole individuale,Iasi,1991,Kilograme,3596.0
Floarea soarelui,Sector privat,Ialomita,1991,Kilograme,1421.0
Floarea soarelui,Sector privat,Botosani,1991,Kilograme,1146.0
Floarea soarelui,din care: Exploatatii agricole individuale,Gorj,1991,Kilograme,708.0
Floarea soarelui,Sector privat,Galati,1991,Kilograme,1180.0
Floarea soarelui,din care: Exploatatii agricole individuale,Satu Mare,1991,Kilograme,886.0
Floarea soarelui,Sector privat,Arad,1991,Kilograme,1208.0
Floarea soarelui,Sector privat,Maramures,1991,Kilograme,950.0
Floarea soarelui,Sector privat,Prahova,1991,Kilograme,1120.0
