NUTS_ID,county_name,barley_yield_2024_kg_ha
RO111,Bihor,4460.0
RO112,Bistrita-Nasaud,2904.0
RO113,Cluj,3327.0
RO114,Maramures,2928.0
RO115,Satu Mare,2726.0
RO116,Salaj,2592.0
RO121,Alba,4196.0
RO122,Brasov,3233.0
RO123,Covasna,3772.0
RO124,Harghita,2213.0
RO125,Mures,3355.0
RO126,Sibiu,3293.0
RO211,Bacau,2441.0
RO212,Botosani,2321.0
RO213,Iasi,3223.0
RO214,Neamt,4273.0
RO215,Suceava,3363.0
RO216,Vaslui,2563.0
RO221,Braila,4586.0
RO222,Buzau,1479.0
RO223,Constanta,5027.0
RO224,Galati,1566.0
RO225,Tulcea,3834.0
RO226,Vrancea,1934.0
RO311,Arges,2961.0
RO312,Calarasi,5666.0
RO313,Dambovita,2925.0
RO314,Giurgiu,5038.0
RO315,Ialomita,4555.0
RO316,Prahova,3438.0
RO317,Teleorman,4282.0
RO322,Ilfov,4236.0
RO411,Dolj,3585.0
RO412,Gorj,2353.0
RO413,Mehedinti,2670.0
RO414,Olt,3762.0
RO415,Valcea,2901.0
RO421,Arad,5291.0
RO422,Caras-Severin,5398.0
RO423,Hunedoara,2640.0
RO424,Timis,5469.0
,Municipiul Bucuresti,0.0
